Unidade;Sigla;Competencia
Coordenação-Geral de Contencioso;CGCONT;"I - coordenar e exercer a representação judicial do INPI, nos processos em que a Autarquia for autora, ré, oponente ou assistente, na forma disciplinada pela Advocacia-Geral da União, recebendo as intimações e citações relativas aos processos judiciais eletrônicos ou não;
II - acompanhar as pautas de julgamento, elaborar memoriais e realizar sustentações orais perante os tribunais, tendo em conta a relevância dos processos de interesse do INPI, na forma disciplinada pela Advocacia-Geral da União;
III - fornecer, na forma de subsídios, os elementos de fato e de direito, inclusive cálculos e perícias, quando couber, necessários à atuação dos órgãos da Procuradoria-Geral Federal, na defesa judicial dos direitos e interesses do INPI, na forma disciplinada pela Advocacia-Geralda União;
IV - apoiar os órgãos da Procuradoria-Geral Federal na sua atuação perante as instâncias dos Tribunais Superiores nos processos em que a Autarquia for autora, ré, oponente ou assistente, na forma disciplinada pela Advocacia-Geral da União;
V - estabelecer uniformidade de procedimentos na atuação judicial do INPI;
VI - orientar as unidades da estrutura regimental do INPI quanto ao cumprimento das decisões prolatadas pelo Poder Judiciário;
VII - exercer a representação extrajudicial do INPI perante os órgãos de controle externo, o Ministério Público e o Poder Judiciário;
VIII - ﬁxar, em conjunto com a Coordenação-Geral Jurídica de Propriedade Industrial e com a Coordenação- Geral de Matéria Administrativa a interpretação do ordenamento jurídico em geral, a ser submetida à aprovação do Procurador-Chefe;
IX - sistematizar, organizar e atualizar a jurisprudência acercada propriedade intelectual brasileira e do direito administrativo brasileiro, assim como da legislação e da jurisprudência sobre propriedade intelectual nos países ou regiões de interesse da Administração do INPI;
X - comunicar, pronta e formalmente, à Coordenação-Geral de Propriedade Industrial as decisões dos Tribunais que envolvam questões relevantes e interpretação de normas legais, em matéria de propriedade intelectual e temas correlatos;
XI - comunicar, pronta e formalmente, à Coordenação-Geral de Matéria Administrativa as decisões dos Tribunais que envolvam questões relevantes e interpretação de normas legais, em matéria administrativa; e
XII - orientar, coordenar, supervisionar e avaliar as atividades da Divisão de Contencioso, propondo ao Procurador-Chefe as medidas que se façam necessárias ao desempenho dessas atividades."
Divisão de Contencioso;DCONT;"I - supervisionar a tramitação das ações civis públicas em matéria de interesse do INPI e o cumprimento das respectivas decisões;
II - supervisionar a tramitação das ações judiciais consideradas de interesse estratégico do INPI e o cumprimento das respectivas decisões;
III - promover ações visando à disseminação de conhecimentos especíﬁcos do sistema legal de proteção da propriedade intelectual e de combate a atos de concorrência desleal e a infrações de direitos de propriedade intelectual;
IV - orientar e uniformizar, em conjunto com a Coordenação-Geral de Contencioso, a preparação e elaboração de informações se peças em processos judiciais a serem prestadas à Advocacia-Geralda União e ao Poder Judiciário para defesa do INPI; e
V - propor ao Coordenador-Geral de Contencioso a deﬁnição dos casos em que seja cabível a atuação direta da Procuradoria Federal Especializada junto ao INPI ou em conjunto com outro órgão de execução da Procuradoria-Geral Federal."
Serviço de Apoio ao Contencioso;SCONT;"I - controlar o andamento das ações judiciais em que o INPI seja autor, réu, oponente ou assistente, bem como dos feitos administrativos sem que a Autarquia seja parte;
II - controlar e manter atualizado, gerando os relatórios e as estatísticas sobre:
a) o andamento dos processos e da documentação submetidos à Coordenação-Geral de Contencioso;
b) os arquivos de processos e da documentação produzida e recebida na Coordenação-Geral de Contencioso;
c) a distribuição de processos e documentos aos Procuradores Federais em exercício na Coordenação-Geral de Contencioso; e
d) a produtividade da Coordenação-Geral de Contencioso, bem como a produtividade individual dos Procuradores Federais em exercício na Coordenação-Geral de Contencioso.
III - elaborar as pesquisas, relatórios e estatísticas referentes às atividades da Coordenação-Geral de Contencioso;
IV - providenciar a retirada e a devolução de processos de interesse do INPI junto ao Poder Judiciário e aos órgãos da Advocacia-Geralda União;
V - executar a sistematização e atualização da jurisprudência em matéria de propriedade intelectual e temas correlatos e em matéria administrativa;
VI - coordenar, controlar e acompanhar os registros e a atualização dos sistemas de registro e controle da Advocacia-Geral da União, na área de competência da Coordenação-Geral de Contencioso;
VII - controlar e orientar, sob a supervisão da Coordenação Geral de Contencioso, as atividades dos estagiários em Direito;
VIII - executar e controlar as comunicações formais à Coordenação-Geral de Propriedade Industrial das decisões dos Tribunais que envolvem questões relevantes e interpretação de normas legais, em matéria de propriedade intelectual e temas correlatos e em matéria administrativa; e
IX - planejar, orientar, coordenar, supervisionar e avaliar as atividades do Serviço, propondo ao Coordenador- Geral de Contenciosas medidas que se façam necessárias ao desempenho dessas atividades."
Serviço de Apoio Administrativo;SERAD;"I - controlar e manter atualizado, gerando relatórios e estatísticas solicitadas pelas cheﬁas das Coordenações- Gerais Jurídica de Propriedade Industrial e de Matéria Administrativa:
a) o andamento dos processos e da documentação submetidos às Coordenações-Gerais Jurídica de Propriedade Industrial e de Matéria Administrativa;
b) os arquivos de processos e da documentação produzida e recebida pelas Coordenações-Gerais Jurídica de Propriedade Industrial e de Matéria Administrativa;
c) a distribuição de processos e documentos aos Procuradores Federais em exercício nas Coordenações-Gerais Jurídica de Propriedade Industrial e de Matéria Administrativa;
d) a produtividade das Coordenações-Gerais Jurídica de Propriedade Industrial e de Matéria Administrativa; e
e) o andamento dos processos relacionados à dívida ativa do INPI.
II - elaborar pesquisas, relatórios e estatísticas referentes às atividades das Coordenações-Gerais Jurídica de Propriedade Industrial e de Matéria Administrativa que lhe forem solicitadas pelas respectivas cheﬁas;
III - executar a sistematização e atualização da jurisprudência do Tribunal de Contas da União;
IV - coordenar, controlar e acompanhar os registros e a atualização dos sistemas de registro e controle da Advocacia-Geral da União, na área de competência das Coordenações-Gerais Jurídica de Propriedade Industrial e de Matéria Administrativa;
V - executar e controlar as comunicações formais à Coordenação-Geral de Contencioso dos pareceres jurídicos das Coordenações-Gerais Jurídica de Propriedade Industrial e de Matéria Administrativa;
VI - executar, sob a supervisão da Coordenação-Geral de Matéria Administrativa, as atividades de natureza administrativa relacionadas à inscrição e à cobrança amigável de débitos relativos à dívida ativa do INPI;
VII - promover as ações necessárias à publicação, em órgão próprio, de trabalhos sobre temas relevantes em matéria de propriedade intelectual e temas correlatos produzidos pela Procuradoria Federal Especializada junto ao INPI;
VIII - controlar e orientar, sob a supervisão das respectivas cheﬁas das Coordenações, as atividades dos estagiários em Direito; e
IX - planejar, orientar, coordenar, supervisionar e avaliar as atividades do Serviço, propondo ao Procurador- Chefe e às respectivas cheﬁas das Coordenações Gerais as medidas que se façam necessárias ao desempenho dessas atividades."
Auditoria Interna;AUDIT;"I - coordenar, orientar, supervisionar e controlar as atividades de auditoria do INPI;
II - submeter os Planos Anuais de Atividades de Auditoria Interna - PAINT à aprovação do Presidente do INPI e zelar pela sua adequada execução;
III - encaminhar ao Presidente do INPI e aos gestores das áreas auditadas, relatórios de auditorias realizadas contendo recomendações que visem aprimorar os controles avaliados, para saneamento de impropriedades ou irregularidades porventura identificadas;
IV - submeter os Relatórios Anuais de Atividades de Auditoria - RAINT à apreciação do Presidente do INPI e promover a sua divulgação no prazo e na forma da legislação específica;
V - assessorar o Presidente do INPI nos assuntos de sua competência;
VI - orientar os gestores nos assuntos de sua competência, quando determinado pelo Presidente do INPI;
VII - elaborar cronograma para a montagem das Prestações de Contas Anual, de modo a garantir a tempestividade em sua elaboração e entrega, submeter à aprovação do Presidente do INPI e acompanhar o respectivo atendimento;
VIII - emitir pareceres sobre as Prestações de Contas Anuais e sobre eventuais Tomadas de Contas Especiais instauradas no âmbito do INPI;
IX - planejar, implementar e monitorar ações de resposta aos riscos identificados no âmbito da Auditoria Interna, bem como aperfeiçoar os controles internos da gestão da unidade;
X - garantir a tempestividade na elaboração das peças relativas à Prestação de Contas do INPI no que concerne à Auditoria Interna;
XI - veriﬁcar a conformidade com as normas vigentes dos procedimentos de natureza orçamentária, contábil, ﬁnanceira, patrimonial, de recursos humanos e operacional;
XII - elaborar, submeter à aprovação do Presidente do INPI e executar adequadamente os Planos Anuais de Atividades de Auditoria Interna e os Relatórios Anuais de Atividades de Auditoria Interna, na forma das normas em vigor;
XIII - zelar pela qualidade, eﬁciência e efetividade dos controles internos e pelo adequado atendimento às recomendações emanadas do Tribunal de Contas da União e da Controladoria-Geral da União;
XIV - orientar ou proceder, quando determinado pelo Presidente do INPI, ao exame prévio dos atos administrativos de sua competência, sem prejuízo daquele eventualmente realizado pela Procuradoria Federal Especializada, de modo a garantir a conformidade desses atos com a legislação especíﬁca e com as normas correlatas;
XV - orientar os gestores de bens e os ordenadores de despesas, quando determinado pelo Presidente do INPI; e
XVI - orientar a elaboração das Prestações de Contas Anuais e emitir pareceres sobre Tomadas de Contas Especiais realizadas no âmbito do INPI."
Divisão de Acompanhamento Operacional;DIOPE;"I - avaliar e acompanhar o Planejamento Estratégico do INPI;
II - acompanhar a execução do Plano Plurianual - PPA;
III - acompanhar e avaliar os indicadores de desempenho quanto à eﬁciência, eﬁcácia, efetividade e economicidade, em consonância com a missão institucional e com os objetivos estratégicos do INPI;
IV - acompanhar e avaliar o gerenciamento da execução dos convênios, acordos e demais ajustes ﬁrmados no âmbito deste INPI;
V - acompanhar e avaliar as ações propostas e os resultados do Plano Diretor de Tecnologia da Informação - PDTI; e
VI - examinar os procedimentos das áreas ﬁnalísticas, avaliando seus controles internos, os resultados alcançados, o alcance dos objetivos e o respectivo impacto para o INPI e os usuários dos serviços, visando a comprovar a adequação da gestão."
Divisão de Acompanhamento de Gestão;DIAGE;"I - avaliar os controles internos das unidades administrativas;
II - examinar os atos e fatos de gestão orçamentária, ﬁnanceira, patrimonial, de recursos humanos e do suprimento de bens e serviços;
III - analisar a regularidade dos processos licitatórios, bem como da ﬁscalização e execução contratual;
IV - acompanhar e auxiliar a emissão de pareceres sobre a Prestação de Contas e a Tomada de Contas Especial;
V - acompanhar o cumprimento das determinações do Tribunal de Contas da União e as recomendações da Controladoria-Geral da União e da própria Auditoria Interna, assim como as demandas recebidas pela Ouvidoria; e
VI - auxiliar a elaboração do Plano Anual de Atividades de Auditoria Interna - PAINT e o Relatório Anual de Atividades de Auditoria Interna - RAINT."
Corregedoria;COGER;"I - realizar o juízo de admissibilidade sobre denúncias e representações de irregularidades ou ilícitos administrativo-disciplinares, dando-lhes o pertinente encaminhamento;
II - decidir sobre o arquivamento de denúncias e representações;
III - promover a instauração de procedimentos disciplinares de natureza investigativa ou acusatória relacionados à apuração de ilícitos administrativos praticados por servidores públicos do INPI;
IV - requisitar, em caráter irrecusável, servidores públicos do INPI para compor comissões de procedimentos disciplinares;
V - verificar a regularidade dos procedimentos disciplinares de natureza investigativa ou punitiva instaurados;
VI - avocar, de ofício ou mediante proposta, procedimentos disciplinares em curso no INPI, bem como determinar o reexame daqueles já concluídos ou, conforme o caso, propor ao Presidente do INPI a avocação ou o reexame do feito;
VII - julgar os servidores do INPI em procedimentos disciplinares de natureza investigativa ou punitiva, quando for proposto o seu arquivamento ou a aplicação da penalidade de advertência;
VIII - elaborar parecer conclusivo em processos administrativos disciplinares que possam implicar na aplicação de penalidade de competência do Presidente do INPI, encaminhando-os para julgamento;
IX - propor ao Presidente do INPI o encaminhamento dos processos administrativos disciplinares, cujas penalidades propostas forem demissão, suspensão superior a 30 (trinta) dias, cassação de aposentadoria ou disponibilidade, destituição de cargo em comissão e destituição de função comissionada ao Ministro de Estado do Desenvolvimento, Indústria, Comércio e Serviços;
X - elaborar parecer conclusivo em pedidos de reconsideração e recursos administrativos originários de decisões em procedimentos disciplinares;
XI - planejar, monitorar e implementar ações de resposta aos riscos identificados no âmbito da Corregedoria, bem como aperfeiçoar os controles internos da gestão da unidade;
XII - garantir a tempestividade na elaboração das peças relativas à Prestação de Contas do INPI no que concerne à Corregedoria;
XIII - planejar, dirigir, orientar, supervisionar, avaliar e controlaras atividades de correição no âmbito do INPI;
XIV - instaurar ou requisitar a instauração, de ofício ou a partir de representações e denúncias, de sindicâncias, inclusive as patrimoniais, processos administrativos disciplinares e demais procedimentos correcionais para apurar responsabilidade por irregularidades praticadas na autarquia, e decidir acerca das propostas de arquivamento de denúncias e representações;
XV - encaminhar ao Presidente do INPI, para julgamento, os processos administrativos disciplinares que possam implicar a aplicação de penalidades de sua competência;
XVI - propor o encaminhamento ao Ministro de Estado do Desenvolvimento, Indústria, Comércio e Serviços, para julgamento, dos processos administrativos disciplinares cujas penalidades propostas forem demissão, suspensão superior a trinta dias, cassação de aposentadoria ou disponibilidade, destituição de cargo em comissão e destituição de função comissionada;
XVII - avocar, de ofício ou mediante proposta, sindicâncias, processos administrativos disciplinares e outros procedimentos correcionais em curso no INPI e determinar o reexame daqueles já concluídos ou, conforme o caso, propor ao Presidente do INPI a avocação ou o reexame do feito; e
XVIII - exercer as demais competências previstas no art. 5º do Decreto no 5.480, de 30 de junho de 2005."
Divisão Administrativa e Apuração Correcional;DIAAC;"I - auxiliar o corregedor no desempenho e planejamento das atividades de gestão administrativa da COGER;
II - realizar o levantamento, consolidação e análise dos indicadores de gestão relativos à área de competência da COGER, para fins de avaliação institucional e de resultados;
III - organizar informações pertinentes à atividade correcional para elaboração de relatório de gestão correcional anual e relatórios periódicos;
IV - executar, coordenar atos e acompanhar trabalhos em comissões de processos sancionadores controlando prazos e prestando subsídios às comissões;
V - supervisionar a alimentação de dados nos sistemas correcionais no que se refere aos módulos PAD e PAR;
VI - avaliar e propor aplicação de procedimento administrativo cautelar;
VII - sugerir medidas que visem a inibir, a reprimir e a diminuir a prática de faltas ou irregularidades no âmbito do INPI;
VIII - manter atualizado o registro de penalidades aplicadas aos servidores; e
IX - observar as orientações do órgão central do Sistema de Corregedoria do Poder Executivo Federal. "
Seção de Investigação e Admissibilidade;SEIAD;"I - recepcionar e analisar representações, denúncias ou relatos que noticiem a ocorrência de irregularidades ou infração disciplinar;
II - instruir e conduzir procedimentos de natureza investigativa podendo realizar diligências e solicitar informações necessárias ao desfecho da apuração;
III - elaborar recomendação ao final da análise referida no inciso I e dos procedimentos investigativos quanto ao arquivamento, celebração de TAC ou instauração de processo correcional;
IV - realizar o monitoramento dos prazos e planos de trabalho das atividades, bem como supervisionar o atendimento à legalidade das diligências;
V - supervisionar a gestão dos dados nos sistemas correcionais pertinentes aos módulos ""investigação"" e ""termo de ajuste de conduta"";
VI - avaliar e propor a aplicação de procedimento administrativo cautelar; e
VII - sugerir medidas que visem a inibir, a reprimir e a diminuir a prática de faltas ou irregularidades no âmbito do INPI."
Diretoria de Administração;DIRAD;"I - ordenar quaisquer tipos de despesas regulares;
II - autorizar as dispensas e as inexigibilidades de licitação para contratação de obras, serviços e compras cujos valores estimados sejam superiores a 10% (dez por cento) dos valores estabelecidos para a modalidade Convite, e submeter ao Presidente para ratificar;
III - ratificar as dispensas e as inexigibilidades de licitação não previstas no inciso II;
IV - autorizar e homologar as licitações para aquisição de material e execução de obras e serviços na modalidade Tomada de Preços e nas modalidades Pregão e Leilão, cujos valores estimados sejam correspondentes ao da modalidade Tomada de Preços;
V - celebrar e rescindir os contratos, os termos aditivos contratuais de prorrogação, acréscimos, supressões, apostilas de repactuação, reajuste ou equilíbrio contratual cujos valores contratados sejam correspondentes à modalidade Tomada de Preços;
VI - autorizar e conceder adesões às atas de registro de preços cujos valores estimados sejam correspondentes à modalidade Tomada de Preços;
VII - assinar as atas de registro de preços, cujos valores estimados sejam correspondentes à modalidade Tomada de Preços;
VIII - aplicar aos fornecedores ou executantes de obras ou serviços as penalidades de advertência e multa, nos termos da legislação própria;
IX - quando da interposição de recursos contra as penalidades aplicadas, exercer o juízo de admissibilidade e, se mantida sua decisão, submeter os autos à Presidência para decidir;
X - autorizar a emissão de empenho, pagamento, suprimento ou dispêndio de recursos;
XI - decidir sobre o volume dos recursos financeiros no que tange à sua movimentação e aplicação;
XII - emitir declaração de adequação orçamentária e financeira para as aquisições e contratações do INPI, bem como, para as prorrogações, repactuações, reajustes e reequilíbrios contratuais;
XIII - aprovar as indicações de pregoeiros, dentre os previamente nomeados pelo Presidente, equipes de apoio e membros de comissão permanente de licitação;
XIV - planejar, implementar e monitorar ações de resposta aos riscos identificados no âmbito da Diretoria de Administração, bem como aperfeiçoar os controles internos da gestão da unidade;
XV - garantir a tempestividade na elaboração das peças relativas à Prestação de Contas do INPI no que concerne à Diretoria de Administração;
XVI - planejar e gerenciar, no âmbito do INPI, a execução das atividades relacionadas com os Sistemas de:
a) Administração dos Recursos de Tecnologia da Informação - Sisp;
b) Administração Financeira Federal;
c) Contabilidade Federal;
d) Gestão de Documentos de Arquivo - Siga;
e) Organização e Inovação Institucional do Governo Federal - Siorg;
f) Pessoal Civil da Administração Federal - Sipec;
g) Planejamento e de Orçamento Federal; e
h) Serviços Gerais - Sisg.
XVII - planejar, organizar, dirigir e controlar a execução das atividades relacionadas à aquisição de bens e a execução das atividades de engenharia, de arquitetura e de responsabilidade socioambiental."
Coordenação-Geral de Recursos Humanos;CGRH;"I - ordenar as despesas regulares de pessoal e outras eventualmente delegadas pelo Diretor de Administração;
II - lotar e remover servidores, observada a lotação definida para as unidades organizacionais;
III - conceder vantagens e benefícios previstos conforme legislação em vigor;
IV - autorizar as averbações de tempo de serviço e de consignações na folha de pagamento;
V - autorizar o empenho da despesa referente à folha de pagamento de pessoal e encargos sociais;
VI - autorizar a execução e as eventuais mudanças das ações de capacitação do Programa de Capacitação de Recursos Humanos, previstas nos Planos Anuais de Capacitação, após previamente submetidas à apreciação da Diretoria de Administração e aprovação da Presidência do INPI;
VII - supervisionar as atividades acadêmicas de pesquisa, ensino e extensão em propriedade industrial e de inovação;
VIII - planejar, coordenar e supervisionar a execução das políticas, planos, ações, atividades e demais projetos relativos à administração de pessoal, recrutamento, seleção, dimensionamento da força de trabalho, desempenho, desenvolvimento, saúde, clima e cultura organizacionais, gestão do conhecimento e capacitação de recursos humanos dos servidores do INPI, por meio das suas unidades subordinadas, bem como firmar parcerias e convênios no âmbito da gestão de recursos humanos; e
IX - planejar, coordenar e supervisionar a execução das atividades acadêmicas de pesquisa, ensino e extensão em propriedade industrial e de inovação."
Coordenação de Assistência e Desenvolvimento de Recursos Humanos;COADE;"I - planejar e coordenar a execução das ações relativas a ambientação e integração de novos servidores;
II - planejar e coordenar as políticas e os planos referentes ao desenvolvimento dos servidores na carreira, por meio de capacitação e qualificação de recursos humanos;
III - planejar e coordenar o processo de gestão do desempenho individual, por meio de suas unidades subordinadas;
IV - elaborar relatórios de informações gerenciais com base nos resultados apurados dos indicadores de desempenho e demais informações concernentes às competências de suas unidades subordinadas;
V - planejar e coordenar ações que promovam a gestão por competências no INPI;
VI - desenvolver ações para diagnóstico e melhoria da cultura e do clima organizacionais;
VII - planejar e coordenar as ações ligadas à saúde ocupacional e à qualidade de vida no trabalho no INPI;
VIII - emitir declarações no âmbito de sua competência;
IX - elaborar propostas de atos normativos pertinentes aos temas de sua competência; e
X - manifestar-se em processos administrativos pertinentes às suas competências."
Divisão de Saúde Ocupacional;DISAO;"I - propor, promover e executar as políticas inerentes à saúde integral do corpo funcional do INPI, em consonância com as diretrizes do Subsistema Integrado de Atenção à Saúde do Servidor SIASS, do Ministério do Planejamento e Orçamento;
II - promover medidas de prevenção e de correção nos ambientes e processos de trabalho, buscando a humanização, prevenção de acidentes, de agravos à saúde e de doenças relacionadas ao trabalho e a melhoria da qualidade de vida do servidor no ambiente de trabalho;
III - promover a abordagem multiprofissional do servidor mediante ações de medicina preventiva do trabalho, enfermagem, serviço social, psicologia organizacional, fisioterapia, educação física e odontologia;
IV - promover programas socioeducativos voltados para o desenvolvimento integral do adolescente e/ou do jovem aprendiz, em que exigências pedagógicas e sociais prevaleçam sobre o aspecto produtivo;
V - promover a saúde física e mental do corpo funcional do INPI, sob a égide das normas e legislações pertinentes à higiene, medicina e segurança do trabalho;
VI - promover medidas de integração social do servidor voltadas para a sua readaptação funcional, acessibilidade, remoção e relotação com foco na recuperação de sua aptidão física e mental;
VII - atuar em conjunto com o Serviço de Carreira e Desempenho nos processos de remoção, avaliação de desempenho, avaliação de perfil de competências técnicas e comportamentais, processos seletivos internos, em consonância com as diretrizes traçadas pela Coordenação-Geral de Recursos Humanos;
VIII - formular, propor e executar ações vinculadas à política de saúde suplementar do INPI, em conformidade com as diretrizes do Ministério do Planejamento e Orçamento;
IX - programar e executar eventos que promovam a qualidade de vida no trabalho e o bem-estar dos servidores do INPI;
X - realizar o levantamento de informações e executar ações voltadas à melhoria do clima organizacional;
XI - planejar e executar as ações relativas ao programa de preparação para aposentadoria dos servidores do INPI, em conjunto com demais áreas afins na Coordenação-Geral de Recursos Humanos;
XII - elaborar e realizar procedimentos para garantir a conformidade dos registros e processos instruídos na Divisão de Saúde Ocupacional;
XIII - executar e manter atualizadas as concessões de benefícios no sistema de pagamento de pessoal; e
XIV - manifestar-se em processos administrativos pertinentes às suas competências."
Serviço de Carreira e Desempenho;SECAD;"I - gerenciar, supervisionar e executar as ações relativas à gestão do desempenho individual, para fins de estágio probatório, progressão/promoção e percepção da gratificação de desempenho;
II - gerenciar o processo de movimentação interna de pessoal e os processos de seleção interna;
III - gerir os requerimentos de concessão de Retribuição por Titulação e Gratificação de Qualificação dos servidores, com base na legislação vigente;
IV - apoiar a gestão do conhecimento no INPI por meio de promoção e incentivo das práticas que tenham como finalidade o desenvolvimento do servidor na carreira e programas de reconhecimento e valorização de servidores e equipes;
V - formular e executar ações visando à ambientação e à integração dos servidores em estágio probatório;
VI - desenvolver e executar ações pertinentes à Gestão da Carreira do INPI;
VII - gerir todo o processo de progressão/promoção dos servidores do INPI;
VIII - elaborar e realizar procedimentos para garantir a conformidade dos registros e processos instruídos no Serviço de Carreira e Desempenho;
IX - desenvolver e elaborar relatórios gerenciais com informações acerca das avaliações de desempenho, bem como a evolução do desempenho dos servidores;
X - formular e implementar propostas de melhoria ao processo de gestão de desempenho individual;
XI - gerir o Programa de Gestão e Desempenho – PGD do INPI; e
XII - manifestar-se em processos administrativos pertinentes às suas competências."
Seção de Apoio à Assistência e Desenvolvimento de Recursos Humanos;SEADE;"I - apoiar a uniformização dos procedimentos e da instrução dos processos que envolvam direitos e benefícios dos servidores, inerentes à Coordenação de Assistência e Desenvolvimento de Recursos Humanos, bem como propor eventuais melhorias;
II - dar suporte e manter controle de informações relativas à Coordenação de Assistência e Desenvolvimento de Recursos Humanos;
III - acompanhar a tramitação dos processos administrativos que envolvam os atos pertinentes à Coordenação;
IV - dar suporte e manter controle de informações quanto aos procedimentos e práticas de análise de conformidade realizada pelas unidades da Coordenação de Assistência e Desenvolvimento de Recursos Humanos;
V - distribuir entre as unidades da Coordenação de Assistência e Desenvolvimento de Recursos Humanos, para fins de instrução processual, os processos administrativos e expedientes recepcionados pela Coordenação, bem como auxiliar a Coordenação na análise e na elaboração dos expedientes e demais ações por ela solicitados;
VI - auxiliar na formulação de relatórios e levantamento de informações para subsidiar a Coordenação de Assistência e Desenvolvimento de Recursos Humanos as respostas aos órgãos de controle interno e externo; e
VII - atuar no apoio às unidades subordinadas à Coordenação de Assistência e Desenvolvimento de Recursos Humanos."
Coordenação de Administração de Recursos Humanos;COARH;"I - coordenar, orientar e supervisionar a atualização dos registros pessoais e funcionais, zelando pelo cumprimento dos direitos se deveres dos servidores do INPI nas atividades relacionadas à folha de pagamento dos servidores ativos, inativos, beneficiários de pensão, cedidos e requisitados, contratos temporários, cargos em comissão, funções gratificadas e estagiários;
II - supervisionar a aplicação da legislação de pessoal, zelando pelo cumprimento dos direitos e deveres dos servidores ativos, inativos, beneficiários de pensão, cedidos e requisitados, contratos temporários, cargos em comissão, funções gratificadas e estagiários;
III - subsidiar a Coordenação-Geral de Recursos Humanos nas matérias relativas à administração de recursos humanos;
IV - elaborar relatórios de informações gerenciais com base nos resultados apurados dos indicadores de desempenho e demais informações concernentes às competências de suas unidades subordinadas;
V - expedir atestados e declarações com base nos registros financeiros e nos assentamentos funcionais dos empregados públicos, servidores ativos e aposentados, beneficiários de pensão e do pessoal contratado por excepcional interesse público;
VI - analisar e instruir processos de reconhecimento de dívidas de exercícios anteriores; e
VII - manifestar-se conclusivamente em processos administrativos pertinentes às suas competências."
Divisão de Pagamento;DIPAG;"I - executar as atividades necessárias à elaboração da folha de pagamento dos servidores ativos, inativos, beneficiários de pensão, cedidos e requisitados, contratos temporários, cargos em comissão, funções gratificadas e estagiários, fornecendo as informações que forem necessárias aos órgãos de controle interno e externo;
II - expedir relatórios da folha de pagamento para fins de acompanhamento da execução do orçamento de pessoal e de crédito bancário, além de outros documentos pertinentes à Divisão de Pagamento;
III - elaborar cálculos para pagamento de remunerações relativas a passivos, ações judiciais, cálculos de diferenças e/ou atualizações de benefícios legais, cálculos referentes à reposição ao erário para inserção em folha de pagamento e cálculos nominais para inscrição em dívida ativa da União, formalizando os processos decorrentes desses pagamentos;
IV - formalizar os processos referentes aos pagamentos de exercícios anteriores e à inclusão no sistema informatizado de administração de recursos humanos;
V - incluir informações sobre processos judiciais no Módulo de Ações Judiciais do Sistema Integrado de Pessoa Civil - SIPEC, relativas a pagamento;
VI - atualizar, manter e controlar os registros financeiros dos servidores ativos, inativos, beneficiários de pensão, cedidos e requisitados, contratos temporários, cargos em comissão, funções gratificadas e estagiários, articulando junto ao SIPEC, soluções de assuntos pertinentes às folhas de pagamento;
VII - elaborar e executar ações para garantir a conformidade dos cálculos e lançamentos da folha de pagamento;
VIII - preparar e encaminhar as informações previdenciária se as relativas ao FGTS, DIRF-GOV, RAIS e-Social, por meio eletrônico, nos prazos estabelecidos pelos respectivos órgãos responsáveis;
IX - elaborar atestados e declarações com base nos registros financeiros;
X - fornecer subsídios para elaboração da proposta orçamentária de recursos humanos;
XI - elaborar cálculos e acompanhar o pagamento dos processos de reembolso de despesas com remuneração ou salário e encargos dos empregados e dos servidores cedidos, requisitados e em licença sem vencimentos;
XII - efetuar cálculos dos valores devidos a título de auxilio funeral, auxílio moradia e ajuda de custo de servidores;
XIII - fornecer ficha financeira e tabela de remuneração para fins de instrução de processo judicial de pessoal; e
XIV - manifestar-se em processos administrativos pertinentes às suas competências."
