Unidade;Sigla;Conhecimento;Relevancia (Score);Ordem;Tipo_de_Conhecimento;Grau_Conhecimento_Instalado
Divisão de Promoção e Eventos;DIPRE;Ciência Política > Uso de evidências em políticas públicas > Atuação em Rede;20.21%;3;Apoio;1
Divisão de Promoção e Eventos;DIPRE;Ciência Política > Uso de evidências em políticas públicas > Resolução de Problemas com Base em Dados;19.55%;4;Apoio;1
Divisão de Promoção e Eventos;DIPRE;Direito > Teoria do Direito > Distintividade do Sinal;17.17%;5;Apoio;1
Ouvidoria;OUVID;Administração Pública > Ouvidoria e Acesso à Informação > Gestão em Ouvidoria;39.25%;1;Apoio;3
Ouvidoria;OUVID;Administração Pública > Governança e Gestão de Riscos > Proteção de Dados Pessoais no Setor Público;38.93%;2;Apoio;3
Ouvidoria;OUVID;Administração Pública > Ouvidoria e Acesso à Informação > Proteção de Dados;38.24%;3;Apoio;3
Ouvidoria;OUVID;Administração Pública > Ouvidoria e Acesso à Informação > Tratamento de Denúncias;38.14%;4;Apoio;3
Ouvidoria;OUVID;Administração Pública > Relações de Trabalho no Setor Público > Gestão de Pessoas;35.82%;5;Essencial;1
Divisão de Assuntos Externos;DAEXT;Administração Pública > Ouvidoria e Acesso à Informação > Gestão em Ouvidoria;46.39%;1;Apoio;1
Divisão de Assuntos Externos;DAEXT;Administração Pública > Ouvidoria e Acesso à Informação > Atendimento ao Cidadão;29.75%;2;Apoio;1
Divisão de Assuntos Externos;DAEXT;Administração Pública > Ouvidoria e Acesso à Informação > Proteção de Dados;29.23%;3;Apoio;1
Divisão de Assuntos Externos;DAEXT;Administração Pública > Ouvidoria e Acesso à Informação > Tratamento de Denúncias;28.01%;4;Apoio;1
Divisão de Assuntos Externos;DAEXT;Administração Pública > Ouvidoria e Acesso à Informação > Linguagem Simples;26.21%;5;Apoio;1
Divisão de Assuntos Internos;DAINT;Administração Pública > Ouvidoria e Acesso à Informação > Gestão em Ouvidoria;47.28%;1;Apoio;1
Divisão de Assuntos Internos;DAINT;Administração Pública > Ouvidoria e Acesso à Informação > Atendimento ao Cidadão;34.70%;2;Apoio;1
Divisão de Assuntos Internos;DAINT;Administração Pública > Ouvidoria e Acesso à Informação > Proteção de Dados;29.30%;3;Apoio;1
Divisão de Assuntos Internos;DAINT;Administração Pública > Ouvidoria e Acesso à Informação > Tratamento de Denúncias;28.08%;4;Apoio;1
Divisão de Assuntos Internos;DAINT;Administração Pública > Ouvidoria e Acesso à Informação > Linguagem Simples;27.33%;5;Apoio;1
Procuradoria Federal Especializada;PFE;Administração Pública > Auditoria > Técnicas de Auditoria sobre a Folha de Pagamento no Âmbito do Serviço Público Federal;34.73%;1;Apoio;1
Procuradoria Federal Especializada;PFE;Administração Pública > Transparência, Controle e Participação > Conflitos de Interesses no Exercício de Cargo ou Emprego do Poder Executivo Federal;27.00%;2;Apoio;1
Procuradoria Federal Especializada;PFE;Direito > Direito Público > Direitos de Propriedade Intelectual;21.43%;3;Apoio;2
Procuradoria Federal Especializada;PFE;Administração Pública > Inovação > Gestão da Inovação no Setor Público;20.45%;4;Apoio;1
Procuradoria Federal Especializada;PFE;Direito > Direitos Especiais > Formação Geral do Servidor Público;19.81%;5;Apoio;2
Coordenação-Geral Jurídica de Propriedade Industrial;CGPI;Administração Pública > Atendimento ao Público > Propriedade Intelectual;54.66%;1;Apoio;1
Coordenação-Geral Jurídica de Propriedade Industrial;CGPI;Administração Pública > Inovação > Propriedade Intelectual;50.03%;2;Crítico;1
Coordenação-Geral Jurídica de Propriedade Industrial;CGPI;Direito > Direito Público > Direitos de Propriedade Intelectual;40.89%;3;Apoio;1
Coordenação-Geral Jurídica de Propriedade Industrial;CGPI;Direito > Direito Privado > Propriedade Intelectual;36.48%;4;Apoio;1
Coordenação-Geral Jurídica de Propriedade Industrial;CGPI;Administração Pública > Atendimento ao Público > Propriedade Industrial;31.46%;5;Crítico;1
Coordenação-Geral de Matéria Administrativa;CGMA;Ciência Política > Uso de evidências em políticas públicas > Coordenação e Colaboração em Rede;33.74%;1;Apoio;1
Coordenação-Geral de Matéria Administrativa;CGMA;Ciência Política > Uso de evidências em políticas públicas > Resolução de Problemas com Base em Dados;27.77%;2;Apoio;1
Coordenação-Geral de Matéria Administrativa;CGMA;Administração Pública > Atendimento ao Público > Trabalho em Equipe;24.99%;3;Apoio;1
Coordenação-Geral de Matéria Administrativa;CGMA;Ciência Política > Uso de evidências em políticas públicas > Atuação em Rede;24.29%;4;Apoio;1
Coordenação-Geral de Matéria Administrativa;CGMA;Administração Pública > Gestão de Pessoas > Trabalho em Equipe;22.18%;5;Essencial;1
Coordenação-Geral de Contencioso;CGCONT;Direito > Direito Público > Direitos de Propriedade Intelectual;25.06%;1;Apoio;1
Coordenação-Geral de Contencioso;CGCONT;Administração Pública > Atendimento ao Público > Propriedade Intelectual;23.82%;2;Apoio;1
Coordenação-Geral de Contencioso;CGCONT;Administração Pública > Inovação > Propriedade Intelectual;21.39%;3;Crítico;1
Coordenação-Geral de Contencioso;CGCONT;Direito > Direitos Especiais > Formação Geral do Servidor Público;21.09%;4;Apoio;1
Coordenação-Geral de Contencioso;CGCONT;Administração Pública > Estratégia, Projetos e Processos > Planos de Amostragem e Procedimentos na Inspeção de Atributos;20.95%;5;Apoio;1
Divisão de Contencioso;DCONT;Direito > Direitos Especiais > Ações Judiciais e Contrafação;29.44%;1;Apoio;1
Divisão de Contencioso;DCONT;Administração Pública > Atendimento ao Público > Propriedade Intelectual;26.55%;2;Apoio;1
Divisão de Contencioso;DCONT;Ciência Política > Uso de evidências em políticas públicas > Resolução de Problemas com Base em Dados;24.36%;3;Apoio;1
Divisão de Contencioso;DCONT;Administração Pública > Auditoria > Contabilidade Pública com Base em Processos de Execução;23.91%;4;Apoio;1
Divisão de Contencioso;DCONT;Ciência Política > Uso de evidências em políticas públicas > Atuação em Rede;23.75%;5;Apoio;1
Serviço de Apoio ao Contencioso;SCONT;Ciência Política > Uso de evidências em políticas públicas > Coordenação e Colaboração em Rede;34.75%;1;Apoio;1
Serviço de Apoio ao Contencioso;SCONT;Administração Pública > Produtividade > Gestão de Processos;17.93%;2;Apoio;1
Serviço de Apoio ao Contencioso;SCONT;Administração Pública > Atendimento ao Público > Propriedade Intelectual;16.77%;3;Apoio;1
Serviço de Apoio ao Contencioso;SCONT;Direito > Direito Público > Direitos de Propriedade Intelectual;15.98%;4;Apoio;1
Serviço de Apoio ao Contencioso;SCONT;Administração Pública > Produtividade > Mapeamento de Processos;15.68%;5;Apoio;1
Serviço de Apoio Administrativo;SERAD;Direito > Direitos Especiais > Linguagem Jurídica e Propriedade Industrial;43.22%;1;Crítico;1
Serviço de Apoio Administrativo;SERAD;Administração Pública > Atendimento ao Público > Propriedade Industrial;35.16%;2;Crítico;1
Serviço de Apoio Administrativo;SERAD;Administração Pública > Inovação > Transferência de Tecnologia e Propriedade Industrial;34.15%;3;Crítico;1
Serviço de Apoio Administrativo;SERAD;Administração > Administração de Empresas > Propriedade Industrial e Inovação;33.78%;4;Crítico;1
Serviço de Apoio Administrativo;SERAD;Ciência Política > Estado e Governo > Lei da Propriedade Industrial;28.19%;5;Crítico;1
Auditoria Interna;AUDIT;Administração Pública > Auditoria > Técnicas de Auditoria sobre a Folha de Pagamento no Âmbito do Serviço Público Federal;63.09%;1;Apoio;1
Auditoria Interna;AUDIT;Administração Pública > Auditoria > Auditoria Interna;58.44%;2;Apoio;1
Auditoria Interna;AUDIT;Administração Pública > Auditoria > Auditoria Interna Governamental;55.88%;3;Apoio;1
Auditoria Interna;AUDIT;Administração Pública > Auditoria > Gestão de Riscos;43.04%;4;Essencial;1
Auditoria Interna;AUDIT;Administração Pública > Auditoria > Contabilidade Pública com Base em Processos de Execução;36.96%;5;Apoio;3
Divisão de Acompanhamento Operacional;DIOPE;Administração Pública > Auditoria > Contabilidade Pública com Base em Processos de Execução;27.31%;1;Apoio;1
Divisão de Acompanhamento Operacional;DIOPE;Administração Pública > Gestão de Pessoas > Gestão para Resultados;26.43%;2;Essencial;1
Divisão de Acompanhamento Operacional;DIOPE;Administração Pública > Avaliação de Desempenho no Setor Público > Gerenciamento do Desempenho de Processos;25.54%;3;Apoio;1
Divisão de Acompanhamento Operacional;DIOPE;Administração Pública > Estratégia, Projetos e Processos > Gestão por Resultados;19.66%;4;Essencial;1
Divisão de Acompanhamento Operacional;DIOPE;Administração Pública > Experiência e Satisfação do Usuário > Avaliação da Qualidade de Serviços;17.29%;5;Apoio;1
Divisão de Acompanhamento de Gestão;DIAGE;Administração Pública > Auditoria > Auditoria Interna;46.32%;1;Apoio;1
Divisão de Acompanhamento de Gestão;DIAGE;Administração Pública > Auditoria > Auditoria Interna Governamental;41.06%;2;Apoio;1
Divisão de Acompanhamento de Gestão;DIAGE;Administração Pública > Auditoria > Técnicas de Auditoria sobre a Folha de Pagamento no Âmbito do Serviço Público Federal;29.64%;3;Apoio;1
Divisão de Acompanhamento de Gestão;DIAGE;Administração Pública > Auditoria > Gestão de Riscos;28.33%;4;Essencial;1
Divisão de Acompanhamento de Gestão;DIAGE;Administração Pública > Auditoria > Contabilidade Pública com Base em Processos de Execução;22.84%;5;Apoio;1
Corregedoria;COGER;Administração Pública > Transparência, Controle e Participação > Conflitos de Interesses no Exercício de Cargo ou Emprego do Poder Executivo Federal;44.60%;1;Apoio;2
Corregedoria;COGER;Ciência Política > Estado e Governo > Ato Administrativo e Poder de Polícia;25.82%;2;Apoio;1
Corregedoria;COGER;Ciência Política > Estado e Governo > Lei da Propriedade Industrial;25.48%;3;Crítico;1
Corregedoria;COGER;Ciência Política > Estado e Governo > Regime Jurídico dos Servidores Federais;23.59%;4;Apoio;1
Corregedoria;COGER;Administração Pública > Auditoria > Técnicas de Auditoria sobre a Folha de Pagamento no Âmbito do Serviço Público Federal;22.39%;5;Apoio;1
Divisão Administrativa e Apuração Correcional;DIAAC;Administração Pública > Avaliação de Desempenho no Setor Público > Gerenciamento do Desempenho de Processos;36.63%;1;Apoio;1
Divisão Administrativa e Apuração Correcional;DIAAC;Administração Pública > Gestão de Pessoas > Gestão para Resultados;32.94%;2;Essencial;1
Divisão Administrativa e Apuração Correcional;DIAAC;Administração Pública > Transparência, Controle e Participação > Conflitos de Interesses no Exercício de Cargo ou Emprego do Poder Executivo Federal;31.13%;3;Apoio;1
Divisão Administrativa e Apuração Correcional;DIAAC;Administração Pública > Gestão de Pessoas > Gestão de Projetos;29.85%;4;Essencial;1
Divisão Administrativa e Apuração Correcional;DIAAC;Administração Pública > Relações de Trabalho no Setor Público > Gestão de Pessoas;27.45%;5;Essencial;1
Seção de Investigação e Admissibilidade;SEIAD;Administração Pública > Atendimento ao Público > Monitoramento de Avaliação dos Clientes;31.37%;1;Apoio;1
Seção de Investigação e Admissibilidade;SEIAD;Administração Pública > Atendimento ao Público > Gestão de Pessoas;26.97%;2;Apoio;1
Seção de Investigação e Admissibilidade;SEIAD;Administração Pública > Gestão de Pessoas > Eficiência no Processo de Comunicação;25.97%;3;Essencial;1
Seção de Investigação e Admissibilidade;SEIAD;Administração Pública > Atendimento ao Público > Atendimento ao Usuário;25.57%;4;Apoio;1
Seção de Investigação e Admissibilidade;SEIAD;Administração Pública > Estratégia, Projetos e Processos > Planos de Amostragem e Procedimentos na Inspeção de Atributos;23.68%;5;Apoio;1
Diretoria de Administração;DIRAD;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;25.44%;1;Essencial;1
Diretoria de Administração;DIRAD;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Equipes de TI;21.87%;2;Essencial;1
Diretoria de Administração;DIRAD;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;21.52%;3;Essencial;1
Diretoria de Administração;DIRAD;Educação > Ensino-Aprendizagem > Metodologias de Cursos na Modalidade à Distância;21.05%;4;Apoio;1
Diretoria de Administração;DIRAD;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;20.87%;5;Essencial;1
Coordenação-Geral de Recursos Humanos;CGRH;Ciência da Informação > Gestão da Informação e do Conhecimento > Concurso Público e Elaboração de Edital;47.54%;1;Essencial;3
Coordenação-Geral de Recursos Humanos;CGRH;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;45.58%;2;Essencial;1
Coordenação-Geral de Recursos Humanos;CGRH;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;42.99%;3;Essencial;1
Coordenação-Geral de Recursos Humanos;CGRH;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;41.82%;4;Essencial;1
Coordenação-Geral de Recursos Humanos;CGRH;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão do Portfólio;41.31%;5;Essencial;1
Coordenação de Assistência e Desenvolvimento de Recursos Humanos;COADE;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;13.90%;1;Essencial;1
Coordenação de Assistência e Desenvolvimento de Recursos Humanos;COADE;Educação > Ensino-Aprendizagem > Tendências do Mercado Mundial de Tecnologias e Sua Interface com a PI;12.62%;2;Apoio;1
Coordenação de Assistência e Desenvolvimento de Recursos Humanos;COADE;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;12.08%;3;Essencial;1
Coordenação de Assistência e Desenvolvimento de Recursos Humanos;COADE;Ciência da Informação > Análise e Ciência de Dados > Uso do R para Integração de Dados e Análise Estatística;11.91%;4;Apoio;1
Coordenação de Assistência e Desenvolvimento de Recursos Humanos;COADE;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;10.65%;5;Essencial;1
Divisão de Saúde Ocupacional;DISAO;Psicologia > Psicologia do Trabalho e Organizacional > Gestão do Tempo e Produtividade;32.62%;1;Apoio;1
Divisão de Saúde Ocupacional;DISAO;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão do Portfólio;25.08%;2;Essencial;1
Divisão de Saúde Ocupacional;DISAO;Educação > Ensino-Aprendizagem > Tendências do Mercado Mundial de Tecnologias e Sua Interface com a PI;23.42%;3;Apoio;1
Divisão de Saúde Ocupacional;DISAO;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;23.04%;4;Essencial;1
Divisão de Saúde Ocupacional;DISAO;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;22.07%;5;Essencial;1
Serviço de Carreira e Desempenho;SECAD;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;26.17%;1;Essencial;1
Serviço de Carreira e Desempenho;SECAD;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão do Portfólio;23.03%;2;Essencial;1
Serviço de Carreira e Desempenho;SECAD;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;22.57%;3;Essencial;1
Serviço de Carreira e Desempenho;SECAD;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;22.55%;4;Essencial;1
Serviço de Carreira e Desempenho;SECAD;Ciência da Informação > Gestão da Informação e do Conhecimento > Automatização de Documentos;18.44%;5;Essencial;1
Seção de Apoio à Assistência e Desenvolvimento de Recursos Humanos;SEADE;Ciência da Informação > Análise e Ciência de Dados > Linguagem de Programação;13.60%;1;Apoio;1
Seção de Apoio à Assistência e Desenvolvimento de Recursos Humanos;SEADE;Ciência da Informação > Análise e Ciência de Dados > Linguagem de Programação;13.60%;2;Apoio;1
Seção de Apoio à Assistência e Desenvolvimento de Recursos Humanos;SEADE;Ciência da Informação > Análise e Ciência de Dados > Extração de Dados de Sistemas Governamentais;13.55%;3;Apoio;1
Seção de Apoio à Assistência e Desenvolvimento de Recursos Humanos;SEADE;Ciência da Informação > Análise e Ciência de Dados > Análise de Dados de Fácil Visualização e Compreensão Simples;13.44%;4;Apoio;1
Seção de Apoio à Assistência e Desenvolvimento de Recursos Humanos;SEADE;Ciência da Informação > Análise e Ciência de Dados > Tratamento de Dados;13.04%;5;Apoio;1
Coordenação de Administração de Recursos Humanos;COARH;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TIC com Base nas Boas Práticas Devops;19.38%;1;Essencial;1
Coordenação de Administração de Recursos Humanos;COARH;Ciência da Informação > Gestão da Informação e do Conhecimento > Valoração e Comercialização de Ativos Intangíveis;15.70%;2;Essencial;1
Coordenação de Administração de Recursos Humanos;COARH;Ciência da Informação > Gestão da Informação e do Conhecimento > Atualização em Bases de Dados Eletrônicas;13.35%;3;Essencial;1
Coordenação de Administração de Recursos Humanos;COARH;Ciência da Informação > Tecnologia da Informação > Arquitetura Cloud com Referência nas Tecnologias AWS;11.10%;4;Apoio;1
Coordenação de Administração de Recursos Humanos;COARH;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;10.24%;5;Essencial;1
Divisão de Pagamento;DIPAG;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;16.95%;1;Essencial;1
Divisão de Pagamento;DIPAG;Ciência da Informação > Tecnologia da Informação > Sistemas Eletrônicos para Melhoria de Produtividade;16.31%;2;Essencial;1
Divisão de Pagamento;DIPAG;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;15.85%;3;Essencial;1
Divisão de Pagamento;DIPAG;Ciência da Informação > Tecnologia da Informação > Continuidade de Negócio e Plano de Recuperação de Desastres;15.84%;4;Essencial;1
Divisão de Pagamento;DIPAG;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Equipes de TI;15.62%;5;Essencial;1
Divisão de Registros Funcionais;DIREF;Ciência da Informação > Gestão da Informação e do Conhecimento > Valoração e Comercialização de Ativos Intangíveis;22.87%;1;Essencial;1
Divisão de Registros Funcionais;DIREF;Ciência da Informação > Análise e Ciência de Dados > Extração de Dados de Sistemas Governamentais;17.53%;2;Apoio;1
Divisão de Registros Funcionais;DIREF;Ciência da Informação > Gestão da Informação e do Conhecimento > Atualização em Bases de Dados Eletrônicas;17.02%;3;Essencial;1
Divisão de Registros Funcionais;DIREF;Ciência da Informação > Análise e Ciência de Dados > Tratamento de Dados;14.44%;4;Apoio;1
Divisão de Registros Funcionais;DIREF;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;13.66%;5;Essencial;1
Serviço de Aposentadorias e Pensões;SERAP;Ciência da Informação > Análise e Ciência de Dados > Extração de Dados de Sistemas Governamentais;19.97%;1;Apoio;1
Serviço de Aposentadorias e Pensões;SERAP;Ciência da Informação > Análise e Ciência de Dados > Tratamento de Dados;18.06%;2;Apoio;1
Serviço de Aposentadorias e Pensões;SERAP;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;17.08%;3;Essencial;1
Serviço de Aposentadorias e Pensões;SERAP;Ciência da Informação > Análise e Ciência de Dados > Linguagem de Programação;17.05%;4;Apoio;1
Serviço de Aposentadorias e Pensões;SERAP;Ciência da Informação > Análise e Ciência de Dados > Linguagem de Programação;17.05%;5;Apoio;1
Seção de Apoio à Administração de Recursos Humanos;SEARH;Ciência da Informação > Análise e Ciência de Dados > Uso do R para Integração de Dados e Análise Estatística;16.00%;1;Apoio;1
Seção de Apoio à Administração de Recursos Humanos;SEARH;Ciência da Informação > Análise e Ciência de Dados > Linguagem de Programação;15.05%;2;Apoio;1
Seção de Apoio à Administração de Recursos Humanos;SEARH;Ciência da Informação > Análise e Ciência de Dados > Linguagem de Programação;15.05%;3;Apoio;1
Seção de Apoio à Administração de Recursos Humanos;SEARH;Ciência da Informação > Análise e Ciência de Dados > Extração de Dados de Sistemas Governamentais;15.02%;4;Apoio;1
Seção de Apoio à Administração de Recursos Humanos;SEARH;Ciência da Informação > Análise e Ciência de Dados > Análise de Dados de Fácil Visualização e Compreensão Simples;14.59%;5;Apoio;1
Divisão de Legislação de Recursos Humanos;DILEG;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;19.95%;1;Essencial;1
Divisão de Legislação de Recursos Humanos;DILEG;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;19.03%;2;Essencial;1
Divisão de Legislação de Recursos Humanos;DILEG;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão da Mudança;16.60%;3;Essencial;1
Divisão de Legislação de Recursos Humanos;DILEG;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão da Marca;16.60%;4;Essencial;1
Divisão de Legislação de Recursos Humanos;DILEG;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;16.56%;5;Essencial;1
Serviço de Governança de Recursos Humanos;SEGOV;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;25.14%;1;Essencial;1
Serviço de Governança de Recursos Humanos;SEGOV;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;23.03%;2;Essencial;1
Serviço de Governança de Recursos Humanos;SEGOV;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão da Mudança;22.61%;3;Essencial;1
Serviço de Governança de Recursos Humanos;SEGOV;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão da Marca;22.61%;4;Essencial;1
Serviço de Governança de Recursos Humanos;SEGOV;Ciência da Informação > Gestão da Informação e do Conhecimento > Concurso Público e Elaboração de Edital;21.33%;5;Essencial;1
Seção de Apoio de Governança de Recursos Humanos;SEAGO;Educação > Ensino-Aprendizagem > Metodologias de Cursos na Modalidade à Distância;17.41%;1;Apoio;1
Seção de Apoio de Governança de Recursos Humanos;SEAGO;Ciência da Informação > Análise e Ciência de Dados > Extração de Dados de Sistemas Governamentais;13.89%;2;Apoio;1
Seção de Apoio de Governança de Recursos Humanos;SEAGO;Ciência da Informação > Análise e Ciência de Dados > Uso do R para Integração de Dados e Análise Estatística;13.63%;3;Apoio;1
Seção de Apoio de Governança de Recursos Humanos;SEAGO;Ciência da Informação > Análise e Ciência de Dados > Linguagem de Programação;13.38%;4;Apoio;1
Seção de Apoio de Governança de Recursos Humanos;SEAGO;Ciência da Informação > Análise e Ciência de Dados > Linguagem de Programação;13.38%;5;Apoio;1
Academia de Propriedade Intelectual, Inovação e Desenvolvimento;ACAD;Engenharia Agrícola > Engenharia de Processamento de Produtos Agrícolas > Processamento de Substâncias em Estado Plástico em Geral;18.96%;1;Apoio;1
Academia de Propriedade Intelectual, Inovação e Desenvolvimento;ACAD;Agronomia > Ciência do Solo > Indústrias do Petróleo, do Gás ou do Coque;17.24%;2;Apoio;1
Academia de Propriedade Intelectual, Inovação e Desenvolvimento;ACAD;Engenharia Agrícola > Engenharia de Processamento de Produtos Agrícolas > Instalações de Motores a Gás Quente ou de Produtos de Combustão;17.20%;3;Apoio;1
Academia de Propriedade Intelectual, Inovação e Desenvolvimento;ACAD;Engenharia Mecânica > Projetos de Máquinas > Instalações de Motores em Geral;16.86%;4;Apoio;1
Academia de Propriedade Intelectual, Inovação e Desenvolvimento;ACAD;Engenharia Agrícola > Engenharia de Água e Solo > Conhecimento em Novas Tecnologias;16.71%;5;Apoio;1
Divisão de Inovação e Extensão em Propriedade Intelectual;DIEPI;Engenharia Agrícola > Engenharia de Processamento de Produtos Agrícolas > Processamento de Substâncias em Estado Plástico em Geral;21.19%;1;Apoio;1
Divisão de Inovação e Extensão em Propriedade Intelectual;DIEPI;Engenharia Mecânica > Projetos de Máquinas > Aplicação de Materiais Fluentes a Superfícies em Geral;18.74%;2;Apoio;1
Divisão de Inovação e Extensão em Propriedade Intelectual;DIEPI;Engenharia Mecânica > Processos de Fabricação > Máquinas ou Motores em Geral;18.59%;3;Apoio;1
Divisão de Inovação e Extensão em Propriedade Intelectual;DIEPI;Engenharia Mecânica > Projetos de Máquinas > Instalações de Motores em Geral;18.27%;4;Apoio;1
Divisão de Inovação e Extensão em Propriedade Intelectual;DIEPI;Engenharia Mecânica > Projetos de Máquinas > Veículos em Geral;17.83%;5;Apoio;1
Serviço de Tecnologias Educacionais;SETED;Nutrição > Desnutrição e Desenvolvimento Fisiológico > Desenvolvimento dos Conhecimentos;18.88%;1;Apoio;1
Serviço de Tecnologias Educacionais;SETED;Nutrição > Desnutrição e Desenvolvimento Fisiológico > Desenvolvimento de Mercado;17.19%;2;Apoio;1
Serviço de Tecnologias Educacionais;SETED;Nutrição > Desnutrição e Desenvolvimento Fisiológico > Desenvolvimento de Fornecedores;16.67%;3;Apoio;1
Serviço de Tecnologias Educacionais;SETED;Nutrição > Desnutrição e Desenvolvimento Fisiológico > Desenvolvimento de Novos Líderes e Sucessores;14.69%;4;Apoio;1
Serviço de Tecnologias Educacionais;SETED;Nutrição > Desnutrição e Desenvolvimento Fisiológico > Desenvolvimento das Pessoas;14.06%;5;Apoio;1
Divisão de Pós-Graduação e Pesquisa;DIPGP;Engenharia Agrícola > Engenharia de Processamento de Produtos Agrícolas > Processamento de Substâncias em Estado Plástico em Geral;25.39%;1;Apoio;1
Divisão de Pós-Graduação e Pesquisa;DIPGP;Engenharia Mecânica > Projetos de Máquinas > Veículos em Geral;24.26%;2;Apoio;1
Divisão de Pós-Graduação e Pesquisa;DIPGP;Engenharia Mecânica > Projetos de Máquinas > Instalações de Motores em Geral;22.92%;3;Apoio;1
Divisão de Pós-Graduação e Pesquisa;DIPGP;Engenharia Mecânica > Processos de Fabricação > Máquinas ou Motores em Geral;21.25%;4;Apoio;1
Divisão de Pós-Graduação e Pesquisa;DIPGP;Engenharia Mecânica > Projetos de Máquinas > Pulverização ou Atomização em Geral;21.19%;5;Apoio;1
Serviço Acadêmico;SERAC;Astronomia > Astrofísica do Sistema Solar > Estruturação do Sistema de Medição;22.45%;1;Apoio;1
Serviço Acadêmico;SERAC;História > História das Ciências > Estruturação das Informações;17.94%;2;Apoio;1
Serviço Acadêmico;SERAC;Linguística > Linguística Aplicada > Linguística Aplicada ao Exame de Pedidos de Registro de Marcas;17.87%;3;Apoio;1
Serviço Acadêmico;SERAC;Física > Física Geral > Armazenamento de Informações;15.51%;4;Apoio;1
Serviço Acadêmico;SERAC;Engenharia Agrícola > Engenharia de Processamento de Produtos Agrícolas > Processamento de Substâncias em Estado Plástico em Geral;15.12%;5;Apoio;1
Biblioteca de Propriedade Intelectual e Inovação;BIBLI;Engenharia Mecânica > Fenômenos de Transporte > Navios e Outras Embarcações;25.40%;1;Apoio;1
Biblioteca de Propriedade Intelectual e Inovação;BIBLI;Engenharia Mecânica > Projetos de Máquinas > Elementos ou Unidades de Engenharia;23.38%;2;Apoio;1
Biblioteca de Propriedade Intelectual e Inovação;BIBLI;Engenharia de Materiais e Metalúrgica > Metalurgia de Transformação > Tratamento de Ligas ou de Metais Não-ferrosos;12.81%;3;Apoio;1
Biblioteca de Propriedade Intelectual e Inovação;BIBLI;Bioquímica > Biologia Molecular > Busca de Sequências;11.36%;4;Apoio;1
Biblioteca de Propriedade Intelectual e Inovação;BIBLI;Engenharia Agrícola > Engenharia de Água e Solo > Recuperação de Solo Contaminado;11.28%;5;Apoio;1
Centro de Educação Corporativa;CETEC;Nutrição > Desnutrição e Desenvolvimento Fisiológico > Desenvolvimento das Pessoas;21.15%;1;Apoio;1
Centro de Educação Corporativa;CETEC;Engenharia Mecânica > Processos de Fabricação > Processos de Combustão;18.95%;2;Apoio;1
Centro de Educação Corporativa;CETEC;Nutrição > Desnutrição e Desenvolvimento Fisiológico > Desenvolvimento das Competências Essenciais;18.83%;3;Apoio;1
Centro de Educação Corporativa;CETEC;Engenharia Mecânica > Processos de Fabricação > Sistemas de Bombas de Calefação;17.18%;4;Apoio;1
Centro de Educação Corporativa;CETEC;Engenharia Mecânica > Projetos de Máquinas > Elementos ou Unidades de Engenharia;16.88%;5;Apoio;1
Coordenação-Geral de Logística e Infraestrutura;CGLI;Ciência da Informação > Arquivologia > Gestão de Documentos Digitais;33.64%;1;Essencial;3
