Novo;Status;Natureza;Area;Competencia;Instituicao;LogoInstituicao;Tematica;Curso;CH;Link;Modalidade;Nivel;Custo;Publico;Plataforma;Administrador;Objetivo;Imagem;Sigla;Ini-Inscr;Fim-Inscr;Ini-Disp;Fim-Disp;;
;ABERTO;Educação Corporativa;CGRH;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;LGPD;COMO IMPLEMENTAR A LGPD: BASES, MECANISMOS E PROCESSOS;25;https://www.escolavirtual.gov.br/curso/529;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;COGER;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;LGPD;COMO IMPLEMENTAR A LGPD: BASES, MECANISMOS E PROCESSOS;25;https://www.escolavirtual.gov.br/curso/529;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;ENAP;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;ENSINO E APRENDIZAGEM;COMO PRODUZIR CURSOS À DISTÂNCIA COM IA GENERATIVA;25;https://www.escolavirtual.gov.br/curso/1039;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;COGER;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;INTEGRIDADE;COMPLIANCE ANTICORRUPÇÃO EM EMPRESAS ESTATAIS;25;https://www.escolavirtual.gov.br/curso/428;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGDI;;ESKADA;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/eskada-logo.png;GESTÃO DE PESSOAS;COMPORTAMENTO ORGANIZACIONAL;30;https://eskadauema.com/course/view.php?id=68;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;GAB PR;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;AUDITORIA;COMUNICAÇÃO ASSERTIVA EM RELATÓRIOS DE AUDITORIA;20;https://suap.enap.gov.br/vitrine/curso/2683/;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;GAB PR;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;COMUNICAÇÃO;COMUNICAÇÃO ASSERTIVA: ORATÓRIA, RETÓRICA E TÉCNICAS DE APRESENTAÇÃO;50;https://www.escolavirtual.gov.br/curso/1347;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;PFE;;ENAP;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;COMUNICAÇÃO;COMUNICAÇÃO ASSERTIVA: ORATÓRIA, RETÓRICA E TÉCNICAS DE APRESENTAÇÃO;50;https://www.escolavirtual.gov.br/curso/1347;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;ENAP;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;COMUNICAÇÃO;COMUNICAÇÃO ASSERTIVA: ORATÓRIA, RETÓRICA E TÉCNICAS DE APRESENTAÇÃO;50;https://www.escolavirtual.gov.br/curso/1347;Híbrido;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGDI;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;MARKETING DIGITAL;COMUNICAÇÃO EM MÍDIAS DIGITAIS;60;https://mooc.ufes.br/cursos/comunicacao-em-midias-digitais/;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;DIRMA;;ENAP;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;MARKETING DIGITAL;COMUNICAÇÃO EM MÍDIAS DIGITAIS;60;https://mooc.ufes.br/cursos/comunicacao-em-midias-digitais/;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;DIRPA;;FUNDAÇÃO BRADESCO;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/fundacaobradesco-logo.png;REDAÇÃO OFICIAL;COMUNICAÇÃO ESCRITA;40;https://www.ev.org.br/cursos/comunicacao-escrita;Híbrido;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;PFE;;FUNDAÇÃO BRADESCO;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/fundacaobradesco-logo.png;REDAÇÃO OFICIAL;COMUNICAÇÃO ESCRITA E ORAL;76;https://www.ev.org.br/trilhas-de-conhecimento/comunicacao-escrita-e-oral;Híbrido;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;COMUNICAÇÃO;COMUNICAÇÃO NÃO-VIOLENTA;20;https://www.escolavirtual.gov.br/curso/463;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGDI;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;COMUNICAÇÃO;COMUNICAÇÃO NÃO-VIOLENTA;20;https://www.escolavirtual.gov.br/curso/463/;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGTEC;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;COMUNICAÇÃO;COMUNICAÇÃO NÃO-VIOLENTA;20;https://www.escolavirtual.gov.br/curso/463;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;DIRMA;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;COMUNICAÇÃO;COMUNICAÇÃO NÃO-VIOLENTA;20;https://www.escolavirtual.gov.br/curso/463;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;DIRPA;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;COMUNICAÇÃO;COMUNICAÇÃO NÃO-VIOLENTA;20;https://www.escolavirtual.gov.br/curso/463;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;GAB PR;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;COMUNICAÇÃO;COMUNICAÇÃO NÃO-VIOLENTA: BASES E APLICAÇÕES NA ERA DO TRABALHO REMOTO;18;https://suap.enap.gov.br/vitrine/curso/1181/?area=3;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;COGER;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;COMUNICAÇÃO;COMUNICAÇÃO NÃO-VIOLENTA: BASES E APLICAÇÕES NA ERA DO TRABALHO REMOTO;18;https://suap.enap.gov.br/vitrine/curso/1181/?area=3;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGOF;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;COMUNICAÇÃO;COMUNICAÇÃO NÃO-VIOLENTA: BASES E APLICAÇÕES NA ERA DO TRABALHO REMOTO;18;https://suap.enap.gov.br/vitrine/curso/1181/?area=3;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGLI;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;COMUNICAÇÃO;COMUNICAÇÃO NÃO-VIOLENTA: BASES E APLICAÇÕES NA ERA DO TRABALHO REMOTO;18;https://suap.enap.gov.br/vitrine/curso/1181/?area=3;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;AUDIT;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;MARKETING DIGITAL;COMUNICAÇÃO PÚBLICA E COMUNICAÇÃO DE GOVERNO;10;https://www.escolavirtual.gov.br/curso/488/;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGOF;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;DIREITO ADMINISTRATIVO (CORREIÇÃO);COMUNICAÇÕES PROCESSUAIS;10;https://www.escolavirtual.gov.br/curso/820;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGLI;;GOOGLE;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/google-logo.png;COMUNICAÇÃO;COMUNIQUE SUAS IDEIAS ATRAVÉS DO STORYTELLING E DO DESIGN;20;https://skillshop.exceedlms.com/student/collection/656569/path/2574949;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;GAB PR;;TCU;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/tcu-logo.png;IMPACTO REGULATÓRIO;CONCORRÊNCIA E REGULAÇÃO;24;https://contas.tcu.gov.br/ords/f?p=706144:106:101725382194227::NO:106:P106_COD,P106_ORIGEM:204410,3;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGOF;;UNIVERSITY OF HELSINKI;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/helsinki-logo.png;TECNOLOGIA DA INFORMAÇÃO;CONSTRUINDO A IA;50;https://buildingai.elementsofai.com/;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGTI;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;ORÇAMENTO PÚBLICO;CONTABILIDADE COM FOCO NA GESTÃO DA INFORMAÇÃO CONTÁBIL;20;https://www.escolavirtual.gov.br/curso/548;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;GAB PR;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;ORÇAMENTO PÚBLICO;CONTABILIDADE COM FOCO NA GESTÃO DO ORÇAMENTO PÚBLICO;20;https://www.escolavirtual.gov.br/curso/429;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;GAB PR;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;ORÇAMENTO PÚBLICO;CONTABILIDADE COM FOCO NA GESTÃO DO PATRIMÔNIO PÚBLICO;21;https://www.escolavirtual.gov.br/curso/342;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;GAB PR;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO PATRIMONIAL;CONTABILIDADE COM FOCO NA GESTÃO DO PATRIMÔNIO PÚBLICO;21;https://www.escolavirtual.gov.br/curso/342;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;GAB PR;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;CONTABILIDADE (CONFORMIDADE);CONTABILIDADE PÚBLICA E CONFORMIDADE NA GESTÃO;10;https://www.escolavirtual.gov.br/curso/480/;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;ORÇAMENTO PÚBLICO;CONTABILIDADE PÚBLICA E CONFORMIDADE NA GESTÃO;10;https://www.escolavirtual.gov.br/curso/480;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;GAB PR;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;SUSTENTABILIDADE;CONTRATAÇÕES PÚBLICAS SUSTENTÁVEIS;20;https://www.escolavirtual.gov.br/curso/430;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGOF;;KULTIVI;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/kultivi-logo.png;IDIOMAS;CONVERSAÇÃO BÁSICA DE FRANCÊS;;https://kultivi.com/cursos/idiomas/conversacao-basica-de-frances;Híbrido;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;INDICADORES GERENCIAIS;CRIAÇÃO DE INDICADORES DE DESEMPENHO PARA A TRANSFORMAÇÃO DIGITAL;25;https://www.escolavirtual.gov.br/curso/801/;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;TECNOLOGIA DA INFORMAÇÃO;CRIAÇÃO DE INDICADORES DE DESEMPENHO PARA A TRANSFORMAÇÃO DIGITAL;25;https://www.escolavirtual.gov.br/curso/801;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;UFSCAR;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/ufscar-logo.png;IDIOMAS;CURSO BASICO DE JAPONÊS 1;30;https://cursos.poca.ufscar.br/enrol/index.php?id=543;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;PFE;;KULTIVI;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/kultivi-logo.png;IDIOMAS;CURSO DE ESPANHOL COMPLETO;60;https://kultivi.com/cursos/idiomas/espanhol;Híbrido;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGDI;;KULTIVI;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/kultivi-logo.png;IDIOMAS;CURSO DE FRANCÊS;35;https://kultivi.com/cursos/idiomas/frances;Híbrido;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;DIRMA;;KULTIVI;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/kultivi-logo.png;IDIOMAS;CURSO DE INGLÊS COMPLETO;;https://kultivi.com/cursos/idiomas/ingles;Híbrido;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;DIRPA;;KULTIVI;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/kultivi-logo.png;DESENVOLVIMENTO PESSOAL;CURSO DE ORATÓRIA DE ALTA PERFORMANCE;;https://kultivi.com/cursos/negocios/oratoria-de-alta-performance;Híbrido;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;PFE;;KULTIVI;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/kultivi-logo.png;IDIOMAS;CURSO DE VOCABULÁRIO DE JAPONÊS;;https://kultivi.com/cursos/idiomas/vocabulario-de-japones-para-o-dia-a-dia;Híbrido;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;COMITÊ DE DIVERSIDADE;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;DIVERSIDADE;DEMOCRACIA E LUTAS ANTIRRACISTAS;25;https://www.escolavirtual.gov.br/curso/632;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;DIRMA;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;ORÇAMENTO PÚBLICO;DEMONSTRATIVO DE INFORMAÇÕES PREVIDENCIÁRIAS E REPASSES (DIPR) E PARCELAMENTO DE DÉBITOS PREVIDENCIÁRIOS DOS RPPS;30;https://www.escolavirtual.gov.br/curso/231;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;DIRPA;;ESKADA;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/eskada-logo.png;ENSINO E APRENDIZAGEM;DESENHO DIDÁTICO PARA CURSO ONLINE;30;https://eskadauema.com/course/view.php?id=57;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;ENSINO E APRENDIZAGEM;DESENHO INSTRUCIONAL PARA SOLUÇÕES DE CAPACITAÇÕES PRESENCIAIS;40;https://www.escolavirtual.gov.br/curso/250;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PESSOAS;DESENVOLVENDO TIMES DE ALTA PERFORMANCE;30;https://www.escolavirtual.gov.br/curso/356;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGDI;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PESSOAS;DESENVOLVENDO TIMES DE ALTA PERFORMANCE;30;https://www.escolavirtual.gov.br/curso/356;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;DIRPA;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PESSOAS;DESENVOLVENDO TIMES DE ALTA PERFORMANCE;30;https://www.escolavirtual.gov.br/curso/356;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGTI;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PESSOAS;DESENVOLVIMENTO DE EQUIPES;21;https://suap.enap.gov.br/vitrine/curso/1422/?area=7;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PESSOAS;DESENVOLVIMENTO DE EQUIPES;21;https://suap.enap.gov.br/vitrine/curso/1422/?area=7;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;COMITÊ DE DIVERSIDADE;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PESSOAS;DESENVOLVIMENTO DE EQUIPES;21;https://suap.enap.gov.br/vitrine/curso/1422/?area=7;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;PFE;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PESSOAS;DESENVOLVIMENTO DE EQUIPES;21;https://suap.enap.gov.br/vitrine/curso/1422/?area=7;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;PFE;;Senado Federal;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/senado-logo.png;GESTÃO DE PESSOAS;DESENVOLVIMENTO DE EQUIPES;10;https://saberes.senado.leg.br/course/index.php?categoryid=358;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;COGER;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;ENSINO E APRENDIZAGEM;DESENVOLVIMENTO DE OBJETOS E ATIVIDADES DE APRENDIZAGEM;30;https://www.escolavirtual.gov.br/curso/446;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;PFE;;IFRS;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/ifrs-logo.png;DESENVOLVIMENTO PESSOAL;DESENVOLVIMENTOS PESSOAL E INTERPESSOAL - TURMA 2025A;50;https://aprendamais.mec.gov.br/enrol/index.php?id=1893;Híbrido;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGPE;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DO CONHECIMENTO;DESIGN THINKING APLICADO A BIBLIOTECAS;20;https://www.escolavirtual.gov.br/curso/852;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;DIRMA;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;ENSINO E APRENDIZAGEM;DESIGN THINKING APLICADO À EDUCAÇÃO;25;https://www.escolavirtual.gov.br/curso/448;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;DIRPA;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;TECNOLOGIA DA INFORMAÇÃO;DESVENDANDO A INTELIGÊNCIA ARTIFICIAL NA ADMINISTRAÇÃO PÚBLICA;25;https://www.escolavirtual.gov.br/curso/810;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;GAB PR;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;TECNOLOGIA DA INFORMAÇÃO;DESVENDANDO A INTELIGÊNCIA ARTIFICIAL NA ADMINISTRAÇÃO PÚBLICA;25;https://www.escolavirtual.gov.br/curso/810;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGOF;;LearnCafe;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/learncafe-logo.png;BEM-ESTAR E SAÚDE;DIETA E SAUDE: ALIMENTAÇÃO COMO MEDICINA;9;https://www.learncafe.com/cursos/dieta-e-saude-alimentacao-como-medicina;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;COMITÊ DE DIVERSIDADE;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;DIVERSIDADE;DIREITO E ATENÇÃO À SAÚDE DA PESSOA IDOSA;35;https://www.escolavirtual.gov.br/curso/623;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;TCU;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/tcu-logo.png;IMPACTO REGULATÓRIO;DIREITO REGULATÓRIO;20;https://contas.tcu.gov.br/ords/f?p=706144:106:17034661111614::NO:106:P106_COD,P106_ORIGEM:204379,3;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;COMITÊ DE DIVERSIDADE;;ENAP;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;DIVERSIDADE;DIVERSIDADE E INCLUSÃO;299;https://www.escolavirtual.gov.br/programa/183;Híbrido;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;COMITÊ DE DIVERSIDADE;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;DIVERSIDADE;DIVERSIDADE E INCLUSÃO NO AMBIENTE DE TRABALHO;20;https://www.escolavirtual.gov.br/curso/1336;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;COMITÊ DE DIVERSIDADE;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;DIVERSIDADE;DIVERSIDADE E INCLUSÃO: UMA INTRODUÇÃO;2;https://www.escolavirtual.gov.br/curso/1289;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;PFE;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;DIREITOS DE PROPRIEDADE INDUSTRIAL;DL 001;75;https://welc.wipo.int/acc/index.jsf?lang=en;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;DIREITOS DE PROPRIEDADE INDUSTRIAL;DL 001;5;https://welc.wipo.int/acc/index.jsf?lang=en;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGDI;;OMPI;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/ompi-logo.png;DIREITOS DE PROPRIEDADE INDUSTRIAL;DL 001;75;https://welc.wipo.int/acc/index.jsf?lang=en;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGTEC;;ENAP;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;DIREITOS DE PROPRIEDADE INDUSTRIAL;DL 001;75;https://welc.wipo.int/acc/index.jsf?lang=en;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;DIRMA;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PROJETOS;DOMINANDO A GESTÃO DE PROJETOS;21;https://suap.enap.gov.br/vitrine/curso/2026/?area=8;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;DIRPA;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PROJETOS;DOMINANDO A GESTÃO DE PROJETOS;21;https://suap.enap.gov.br/vitrine/curso/2026/?area=8;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PROJETOS;DOMINANDO A GESTÃO DE PROJETOS;21;https://suap.enap.gov.br/vitrine/curso/2026/?area=8;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;PFE;;TCU;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/tcu-logo.png;ECONOMIA;ECONOMIA COMPORTAMENTAL;12;https://contas.tcu.gov.br/ords/f?p=706144:106:101027040764182::NO:106:P106_COD,P106_ORIGEM:208211,3;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;TCU;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/tcu-logo.png;IMPACTO REGULATÓRIO;ECONOMIA DA REGULAÇÃO;24;https://contas.tcu.gov.br/ords/f?p=706144:106:1320755253708::NO:106:P106_COD,P106_ORIGEM:204257,3;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;COMITÊ DE DIVERSIDADE;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;DIVERSIDADE;EDUCAÇÃO EM DIREITOS HUMANOS;30;https://www.escolavirtual.gov.br/curso/129;Autoinstrucional;;;;;;;;;;;;;;
